,"DDe ep pth th |
(cm)
(cm)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
((%%) )","SSiilltt
(0.05-
(0.05-
0.002mm)|
0.002mm)
((%%) )","Clay
Clay
(<0.002
«0.002
mm)
mm)
((%%) )","Texture
Texture","| CCo oa ars rse e
ffr ra ag g. . |
vvool.l . |
((%%) )","| ppH H
11: :2 2. .5
5
water
water","EC
EC
| 11: :2 2. .5 5
| wwa ate ter r
(dS/m)
(dS/m)",lat_long,page,x,y,state
0,"0-14
0 - 14","A
A","68.3
68.3","15.1
15.1","16.6
16.6",ssl l,-7,"6.4
6.4","0.05
0.05","19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
1,"14-32
14 -32",BBtlt l,"48.6
48.6","24.1
24.1","273
27.3",ssccli,--,66..33,"0.05
0.05","19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
2,332 2 -— 4 49 9,"Bt2
Bt2","36.5
36.5","29.6
29.6","33.9
33.9",ccll,-7,"6.2
6.2","0.05
0.05","19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
3,449 9 -— 773 3,"Bt3
Bt3","48.9
48.9","18.5
18.5","32.6
32.6",ssccli,--,"6.2
6.2","0.05
0.05","19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
4,773 3 -— 8866,"Bt4
Bt4","45.4
45.4","22.1
22.1","32.5
32.5",ccll,--,"6.2
6.2","0.05
0.05","19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
5,"86+
86+","Cr
Cr","weathered parent materials.
Ulpathered parent materials",,,,,,,"19° 12'05"" Nand 83°36'45"" E ",19,19.20138889,83.6125,Orissa
6,"DDe ep pth th |
(cm)
(em)","Hori-
Hori-
zzo on n |","Sand
Sand
(( 22. .00- -0 0. .0 05
5
mm)
mm)
(%)
(%)","SSilitl t
(0.05-
(0.05-
0.002mm)
0.002mm)
(%)
(%)","Clay
Clay
(<0.002
«0.002
mm)
mm)
(%)
(%)","Texture
Texture","| CCo oa ars rse e |
ffrraagg. . |
vvool.l .
(%)
(%)","ppH
H
11::22..55
water
water","EC
EC
| 11::22..55
| wwa ate ter r
(dS/m)
(dS/m)","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
7,"0-14
0 - 14","A
A","68.0
68.0","9.6
9.6","22.4
22.4",ssccli,-=,"5.5
5.5","0.13
0.13","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
8,114 4 -— 228 8,"Btl
Btl","63.5
63.5","8.4
8.4","28.1
28.1",ssccli,--,"5.9
5.9","0.09
0.09","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
9,"28 — 59
28 - 59","Bt2
Bt2","50.2
50.2",114 4.1. 1,"35.7
35.7",sscc,--,"6.0
6.0","0.07
0.07","19°56'45""N and 84°05' E ",21,19.94583333,84.08333333,Orissa
