,Unnamed: 0,"Depth
(cm)","Hori-
zon","Sand
(2.0-0.05
mm)
(%)","Silt
(0.05-
0.002mm)
(%)","Clay
«0.002
mm)
(%)",Texture,"Coarse
frag.
vol.
(%)","pH
1:2.5
water","EC
1:2.5
water
(dS/m)",page,lat_long,x,y,state
0,0,"Depth
(cm)","Hori-
zon","Sand
(2.0-0.05
mm)
(%)","Silt
(0.05-
0.002mm)
(%)","Clay
«0.002
mm)
(%)",Texture,"Coarse
frag.
vol.
(%)","pH
1:2.5
water","EC
1:2.5
water
(dS/m)",19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
1,1,0- 14,A,68.3,15.1,16.6,sl,-,6.4,0.05,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
2,2,14-32,Btl,48.6,24.1,27.3,sci,-,6.3,0.05,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
3,3,32- 49,Bt2,36.5,29.6,33.9,cl,-,6.2,0.05,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
4,4,49- 73,Bt3,48.9,18.5,32.6,sci,-,6.2,0.05,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
5,5,73 - 86,Bt4,45.4,22.1,32.5,cl,-,6.2,0.05,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
6,6,86,Cr,Ulpathered parent materials,,,,,,,19.0,"19° 12'05"" Nand 83°36'45"" E",19.20138889,83.6125,Orissa
7,7,"Depth
(em)","Hori-
zon","Sand
(2.0-0.05
mm)
(%)","Silt
(0.05-
0.002mm)
(%)","Clay
«0.002
mm)
(%)",Texture,"Coarse
frag.
vol.
(%)","pH
1:2.5
water","EC
1:2.5
water
(dS/m)",21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
8,8,0- 14,A,68.0,9.6,22.4,sci,-,5.5,0.13,21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
9,9,14 - 28,Btl,63.5,8.4,28.1,sci,-,5.9,0.09,21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
10,10,28 - 59,Bt2,50.2,14.1,35.7,sc,-,6.0,0.07,21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
11,11,59 - 95,Bt3,58.0,5.8,36.2,sc,-,6.2,0.05,21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
12,12,95 - 150,Bt4,60.0,5.9,34.1,sci,-,6.4,0.03,21.0,"19°56'45""N and 84°05' E",19.94583333,84.08333333,Orissa
13,13,"Depth
(cm)","Hori-
zon","Sand
(2.0-0.05
mm)
(%)","SUt
(0.05-
0.002mm)
(%)","Clay
«0.002
mm)
(%)","Texture
-","Coarse
frag.
vol.
(%)","pH
1:2.5
water","EC
1:2.5
water
(dS/m)",23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
14,14,0- 15,Ap,62.0,23.3,14.7,sl,-,5.8,0.18,23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
15,15,IS - 31,Btl,42.7,23.8,33.5,cI,-,6.0,0.14,23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
16,16,31-60,Bt2,34.5,28.7,36.8,cl,-,6.0,0.11,23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
17,17,60- 98,Bt3,32.1,23.6,44.3,c,-,6.1,0.07,23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
18,18,98 - 150,Bt4,24.8,25.3,49.9,c,-,6.3,0.04,23.0,"19° 41 '10""N and 84°21'30""",19.68611111,84.35833333,Orissa
19,19,"Depth
(em)","Hori-
zon","Sand
(2.0-0.05
mm)
(%)","Silt
(0.05-
O.002mm)
(%)","Clay
«0.002
mm)
(%)",Texture,"Coarse pH
frag. 1:2.5
vol. water
(%)",,"EC
1:2.5
water
(dS/m)",25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
20,20,0- ]4,A,60.0,11.5,28.5,scI,-,6.6,0.16,25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
21,21,14- 40,Bwl,50.0,18.8,31.2,sci,-,6.7,0.07,25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
22,22,40- 60,Bw2,54.5,14.4,31.1,scI,-,7.0,0.05,25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
23,23,60- 90,Bw3,52.0,16.0,32.0,scI,-,7.5,0.05,25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
24,24,90 - 125,Bw4,58.1,12.6,29.3,sci,-,7.8,0.06,25.0,"19°50'20"" Nand 84°49'20""",19.83888889,84.82222222,Orissa
